canonicalsmiles,mw,xlogp,polararea,rotbonds,hbonddonor,hbondacc,charge,anti_inflammatory
CCCCCCCC(=O)O,144.21,3.0,37.3,6,1,2,0,0
C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,441.4,-1.1,209.0,9,6,10,0,0
CC(=O)C,58.08,-0.1,17.1,0,0,1,0,0
CC(=CCCC(=CCO)C)C,154.25,2.9,20.2,4,1,1,0,0
C1=COC(=C1)C=O,96.08,0.4,30.2,1,0,2,0,0
CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,394.4,4.1,63.2,3,0,6,0,0
CC1=NC=C(N1CCO)[N+](=O)[O-],171.15,0.0,83.9,2,1,4,0,0
C1=CC(=CC=C1[N+](=O)[O-])O,139.11,1.9,66.0,0,1,3,0,0
CN1CCCC1C2=CN=CC=C2,162.23,1.2,16.1,1,0,2,0,0
C(C(C1C(=C(C(=O)O1)O)O)O)O,176.12,-1.6,107.0,2,4,6,0,0
CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,384.6,7.9,20.2,6,1,1,0,0
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,183.19,0.9,71.6,0,1,3,0,0
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,290.8,3.8,0.0,0,0,0,0,0
CCC(C)(C)C1=CC=C(C=C1)O,164.24,3.9,20.2,2,1,1,0,0
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,270.4,3.1,37.3,0,1,2,0,0
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,272.4,4.0,40.5,0,2,2,0,0
CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,288.4,2.5,60.7,0,3,3,0,0
CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,296.4,3.7,40.5,1,2,2,0,0
CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,285.34,0.8,52.9,0,2,4,0,0
CCO,46.07,-0.1,20.2,0,1,1,0,0
CC(=O)O,60.05,-0.2,37.3,0,1,2,0,0
